Hour,Temperature
14:00,28
15:00,28
16:00,26
17:00,26
18:00,24
19:00,24
20:00,23
21:00,22
22:00,22
23:00,22
00:00,22
01:00,22
02:00,22
03:00,22
04:00,21
05:00,21
06:00,21
07:00,21
08:00,23
09:00,25
10:00,27
11:00,28
12:00,28
13:00,28
